GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,CTY_SUBA,COUSUBCC,PLACEA,PLACECC,PLACEDC,TRACTA,TRBL_CTA,BLCK_GRPA,TRBL_BGA,C_CITYA,AIANHHA,RES_ONLYA,TRUSTA,AIANHHCC,AITSCE,TRBL_SUBA,ANRCA,MSA_CMSAA,CMSA,MACCI,PMSAA,NECMAA,NECMACCI,URB_AREAA,UATYPE,URBRURALA,CD106A,CD108A,CD109A,ZIP3A,ZCTAA,AREALAND,AREAWATR,NAME,FUNCSTAT,INTPTLAT,INTPLON,LSADC,MACC,UACP,GSV001,GSV002,GSV003,GSV004,GSX001,GSX002,GSX003,GSX004
"G0100410","2000","US","3","6","Alabama","01","Crenshaw","041",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1578805448","3354388","Crenshaw County","A","+31710365","-086289299","06",,,37,3,10,14,36,0,10,0
"G0100430","2000","US","3","6","Alabama","01","Cullman","043",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1912519740","42457211","Cullman County","A","+34155603","-086830179","06",,,579,144,173,190,550,20,161,12
"G0100450","2000","US","3","6","Alabama","01","Dale","045",,,,,"0",,,,,,,,,,,,,"2180","99","N","9999","9999","9",,,,,,,,,"1453174505","4146470","Dale County","A","+31394100","-085615013","06",,,482,100,226,240,221,4,163,32
"G0100470","2000","US","3","6","Alabama","01","Dallas","047",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"2540033739","32793461","Dallas County","A","+32379942","-087065563","06",,,20,48,29,51,15,0,29,0
"G0100490","2000","US","3","6","Alabama","01","DeKalb","049",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"2014784830","1908435","DeKalb County","A","+34459133","-085798919","06",,,1087,247,645,307,1001,58,593,52
"G0100510","2000","US","3","6","Alabama","01","Elmore","051",,,,,"0",,,,,,,,,,,,,"5240","99","N","9999","9999","9",,,,,,,,,"1609044562","93127438","Elmore County","A","+32596847","-086170765","06",,,165,98,170,86,165,0,149,21
"G0100530","2000","US","3","6","Alabama","01","Escambia","053",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"2453710209","14424173","Escambia County","A","+31104135","-087232880","06",,,101,39,73,82,96,5,73,0
"G0100550","2000","US","3","6","Alabama","01","Etowah","055",,,,,"0",,,,,,,,,,,,,"2880","99","N","9999","9999","9",,,,,,,,,"1385183532","36080591","Etowah County","A","+34018597","-086032125","06",,,511,204,200,279,446,65,172,28
"G0100570","2000","US","3","6","Alabama","01","Fayette","057",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1625632174","4354945","Fayette County","A","+33747077","-087751725","06",,,47,10,18,2,47,0,5,13
"G0100590","2000","US","3","6","Alabama","01","Franklin","059",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1646312169","28139961","Franklin County","A","+34465405","-087832638","06",,,816,228,313,236,789,27,295,18
"G0100610","2000","US","3","6","Alabama","01","Geneva","061",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1492559453","6793742","Geneva County","A","+31094579","-085796983","06",,,83,28,32,52,72,7,32,0
"G0100630","2000","US","3","6","Alabama","01","Greene","063",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1672782673","36438301","Greene County","A","+32837254","-087950852","06",,,5,10,9,15,5,0,9,0
"G0100650","2000","US","3","6","Alabama","01","Hale","065",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1667267304","32984565","Hale County","A","+32768094","-087635687","06",,,14,31,8,45,14,0,8,0
"G0100670","2000","US","3","6","Alabama","01","Henry","067",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1455045371","16913484","Henry County","A","+31493511","-085253760","06",,,101,27,35,51,101,0,25,10
"G0100690","2000","US","3","6","Alabama","01","Houston","069",,,,,"0",,,,,,,,,,,,,"2180","99","N","9999","9999","9",,,,,,,,,"1503124582","3351697","Houston County","A","+31189731","-085350387","06",,,239,92,154,153,229,1,140,14
"G0100710","2000","US","3","6","Alabama","01","Jackson","071",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"2793932065","124376317","Jackson County","A","+34755318","-085948462","06",,,148,49,127,103,147,1,127,0
"G0100730","2000","US","3","6","Alabama","01","Jefferson","073",,,,,"0",,,,,,,,,,,,,"1000","99","N","9999","9999","9",,,,,,,,,"2881639146","28998564","Jefferson County","A","+33527872","-086828050","06",,,3657,1069,1592,1221,3478,162,1361,218
"G0100750","2000","US","3","6","Alabama","01","Lamar","075",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1566546589","1600546","Lamar County","A","+33772995","-088084702","06",,,58,11,13,20,58,0,13,0
"G0100770","2000","US","3","6","Alabama","01","Lauderdale","077",,,,,"0",,,,,,,,,,,,,"2650","99","N","9999","9999","9",,,,,,,,,"1733895504","127745460","Lauderdale County","A","+34876890","-087605700","06",,,245,135,119,115,237,0,109,10
"G0100790","2000","US","3","6","Alabama","01","Lawrence","079",,,,,"0",,,,,,,,,,,,,"2030","99","N","9999","9999","9",,,,,,,,,"1795852273","63932890","Lawrence County","A","+34554375","-087302184","06",,,60,11,39,38,41,14,30,9
"G0100810","2000","US","3","6","Alabama","01","Lee","081",,,,,"0",,,,,,,,,,,,,"0580","99","N","9999","9999","9",,,,,,,,,"1576552257","17723094","Lee County","A","+32607485","-085328947","06",,,517,243,412,273,478,11,405,7
"G0100830","2000","US","3","6","Alabama","01","Limestone","083",,,,,"0",,,,,,,,,,,,,"3440","99","N","9999","9999","9",,,,,,,,,"1471241120","101090592","Limestone County","A","+34807445","-086974946","06",,,472,133,186,188,457,15,164,22
"G0100850","2000","US","3","6","Alabama","01","Lowndes","085",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1859446869","18376863","Lowndes County","A","+32171280","-086659917","06",,,18,3,24,12,18,0,24,0
"G0100870","2000","US","3","6","Alabama","01","Macon","087",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1581247720","7042123","Macon County","A","+32421555","-085721158","06",,,25,33,31,39,16,9,31,0
"G0100890","2000","US","3","6","Alabama","01","Madison","089",,,,,"0",,,,,,,,,,,,,"3440","99","N","9999","9999","9",,,,,,,,,"2084739506","20532503","Madison County","A","+34730790","-086588226","06",,,1567,549,1072,615,1393,104,989,69
"G0100910","2000","US","3","6","Alabama","01","Marengo","091",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"2530533970","15034262","Marengo County","A","+32331745","-087788789","06",,,79,27,34,22,79,0,34,0
"G0100930","2000","US","3","6","Alabama","01","Marion","093",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1920255331","5586055","Marion County","A","+34116331","-087878737","06",,,93,10,50,62,93,0,40,10
"G0100950","2000","US","3","6","Alabama","01","Marshall","095",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1468677998","145303458","Marshall County","A","+34329598","-086288884","06",,,1367,295,620,524,1287,80,563,40
"G0100970","2000","US","3","6","Alabama","01","Mobile","097",,,,,"0",,,,,,,,,,,,,"5160","99","N","9999","9999","9",,,,,,,,,"3193690623","1064308706","Mobile County","A","+30722256","-088139667","06",,,1195,439,760,768,1116,62,705,55
"G0100990","2000","US","3","6","Alabama","01","Monroe","099",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"2656951618","22457590","Monroe County","A","+31555656","-087359637","06",,,35,0,15,7,35,0,15,0
"G0101010","2000","US","3","6","Alabama","01","Montgomery","101",,,,,"0",,,,,,,,,,,,,"5240","99","N","9999","9999","9",,,,,,,,,"2045477293","25880189","Montgomery County","A","+32331872","-086260844","06",,,735,427,521,241,679,9,470,28
"G0101030","2000","US","3","6","Alabama","01","Morgan","103",,,,,"0",,,,,,,,,,,,,"2030","99","N","9999","9999","9",,,,,,,,,"1507925725","43627686","Morgan County","A","+34507018","-086918920","06",,,1127,299,422,579,1037,90,404,18
"G0101050","2000","US","3","6","Alabama","01","Perry","105",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1863454321","11896118","Perry County","A","+32613284","-087334017","06",,,29,29,13,35,29,0,4,9
"G0101070","2000","US","3","6","Alabama","01","Pickens","107",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"2282862165","22363229","Pickens County","A","+33274090","-088088963","06",,,28,8,12,15,28,0,12,0
"G0101090","2000","US","3","6","Alabama","01","Pike","109",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1737968630","2749829","Pike County","A","+31792165","-085937370","06",,,111,13,46,28,106,5,32,14
"G0101110","2000","US","3","6","Alabama","01","Randolph","111",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1504900000","7934149","Randolph County","A","+33262424","-085445563","06",,,78,32,80,25,70,8,64,16
"G0101130","2000","US","3","6","Alabama","01","Russell","113",,,,,"0",,,,,,,,,,,,,"1800","99","N","9999","9999","9",,,,,,,,,"1661003813","15699413","Russell County","A","+32376002","-085101100","06",,,189,40,156,130,175,0,135,21
"G0101150","2000","US","3","6","Alabama","01","St Clair","115",,,,,"0",,,,,,,,,,,,,"1000","99","N","9999","9999","9",,,,,,,,,"1641410695","51432687","St. Clair County","A","+33667273","-086329327","06",,,144,39,55,53,140,2,50,5
"G0101170","2000","US","3","6","Alabama","01","Shelby","117",,,,,"0",,,,,,,,,,,,,"1000","99","N","9999","9999","9",,,,,,,,,"2058248819","38413582","Shelby County","A","+33269120","-086698665","06",,,1214,82,454,359,1165,47,434,20
"G0101190","2000","US","3","6","Alabama","01","Sumter","119",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"2343771409","21667529","Sumter County","A","+32558734","-088215706","06",,,21,32,31,23,21,0,23,8
"G0101210","2000","US","3","6","Alabama","01","Talladega","121",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1915378668","53656638","Talladega County","A","+33368498","-086178278","06",,,91,242,61,85,69,16,36,25
"G0101230","2000","US","3","6","Alabama","01","Tallapoosa","123",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1859437932","125097133","Tallapoosa County","A","+32850131","-085835005","06",,,37,13,41,9,27,0,41,0
"G0101250","2000","US","3","6","Alabama","01","Tuscaloosa","125",,,,,"0",,,,,,,,,,,,,"8600","99","N","9999","9999","9",,,,,,,,,"3430104517","69553838","Tuscaloosa County","A","+33235600","-087511691","06",,,480,232,375,343,431,49,354,21
"G0101270","2000","US","3","6","Alabama","01","Walker","127",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"2057463774","28245606","Walker County","A","+33819888","-087285406","06",,,165,65,102,122,163,2,97,5
"G0101290","2000","US","3","6","Alabama","01","Washington","129",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"2798888327","20423419","Washington County","A","+31366088","-088151002","06",,,23,20,18,8,13,10,8,10
"G0101310","2000","US","3","6","Alabama","01","Wilcox","131",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"2301677587","48643939","Wilcox County","A","+31993335","-087348302","06",,,3,2,7,7,3,0,7,0
"G0101330","2000","US","3","6","Alabama","01","Winston","133",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1591383854","45113969","Winston County","A","+34151249","-087418848","06",,,157,24,62,24,153,0,45,17
"G0200130","2000","US","4","9","Alaska","02","Aleutians East","013",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"18099208933","20780667723","Aleutians East Borough","A","+55125713","-162030237","04",,,263,8,32,21,89,174,16,16
"G0200160","2000","US","4","9","Alaska","02","Aleutians West","016",,,,,"A",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"11387589341","25173999631","Aleutians West Census Area","S","+52319360","-172454123","05",,,345,75,63,13,244,101,49,5
"G0200200","2000","US","4","9","Alaska","02","Anchorage","020",,,,,"0",,,,,,,,,,,,,"0380","99","N","9999","9999","9",,,,,,,,,"4395766279","683445939","Anchorage Municipality","C","+61191900","-149762097","12",,,3871,1059,3267,1354,3043,374,2952,178
"G0200500","2000","US","4","9","Alaska","02","Bethel","050",,,,,"A",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"105239784563","12626578961","Bethel Census Area","S","+60888556","-161191411","05",,,45,9,37,13,36,9,37,0
"G0200600","2000","US","4","9","Alaska","02","Bristol Bay Borough","060",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1307725488","991362678","Bristol Bay Borough","A","+58690594","-156786726","04",,,2,0,8,2,2,0,8,0
"G0200680","2000","US","4","9","Alaska","02","Denali","068",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"33021449878","64433414","Denali Borough","A","+63893564","-149104615","04",,,16,6,6,12,16,0,6,0
"G0200700","2000","US","4","9","Alaska","02","Dillingham","070",,,,,"A",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"48367450285","5836871668","Dillingham Census Area","S","+59190911","-158614040","05",,,36,9,13,8,33,3,10,3
"G0200900","2000","US","4","9","Alaska","02","Fairbanks North Star","090",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"19078483082","201438083","Fairbanks North Star Borough","A","+64818590","-147568384","04",,,927,180,729,341,515,29,544,108
"G0201000","2000","US","4","9","Alaska","02","Haines","100",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"6070244109","989605130","Haines Borough","A","+59245450","-135529519","04",,,6,2,15,0,2,4,13,2
"G0201100","2000","US","4","9","Alaska","02","Juneau","110",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"7036141369","1394301430","Juneau City and Borough","C","+58351422","-134511579","03",,,266,39,208,104,225,41,196,6
"G0201220","2000","US","4","9","Alaska","02","Kenai Peninsula","122",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"41474147137","22639962070","Kenai Peninsula Borough","A","+60349178","-150987663","04",,,211,124,153,146,164,45,144,9
"G0201300","2000","US","4","9","Alaska","02","Ketchikan Gateway","130",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"3194034374","1348745006","Ketchikan Gateway Borough","A","+55354938","-131620295","04",,,56,28,120,9,34,13,95,25
"G0201500","2000","US","4","9","Alaska","02","Kodiak Island","150",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"16989921131","14151251696","Kodiak Island Borough","A","+57694078","-152682317","04",,,275,34,171,33,231,20,166,5
"G0201640","2000","US","4","9","Alaska","02","Lake And Peninsula","164",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"61594989981","18453667773","Lake and Peninsula Borough","A","+58605648","-156409989","04",,,2,2,2,2,2,0,0,2
"G0201700","2000","US","4","9","Alaska","02","Matanuska-Susitna","170",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"63924889623","1497666767","Matanuska-Susitna Borough","A","+61762742","-149481089","04",,,287,186,276,167,249,38,260,16
"G0201800","2000","US","4","9","Alaska","02","Nome","180",,,,,"A",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"59572081811","13681400029","Nome Census Area","S","+64809165","-164346772","05",,,20,7,27,0,15,5,27,0
"G0201850","2000","US","4","9","Alaska","02","North Slope","185",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"230035263166","15398849303","North Slope Borough","A","+70599509","-153940111","04",,,51,4,24,11,49,2,22,2
"G0201880","2000","US","4","9","Alaska","02","Northwest Arctic","188",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"92976270484","12596823585","Northwest Arctic Borough","A","+66822031","-160646404","04",,,12,6,13,6,12,0,13,0
"G0202010","2000","US","4","9","Alaska","02","Prince Of Wales-Outer Ketchikan","201",,,,,"A",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"19193422932","13715730157","Prince of Wales-Outer Ketchikan Census Area","S","+55552229","-132584730","05",,,17,0,30,10,17,0,30,0
"G0202200","2000","US","4","9","Alaska","02","Sitka","220",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"7443577063","5018227281","Sitka City and Borough","C","+57079871","-135331757","03",,,61,26,47,45,41,4,47,0
"G0202320","2000","US","4","9","Alaska","02","Skagway-Hoonah-Angoon","232",,,,,"A",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"20451795008","9013806170","Skagway-Hoonah-Angoon Census Area","S","+58321676","-135458953","05",,,27,10,30,11,22,3,30,0
"G0202400","2000","US","4","9","Alaska","02","Southeast Fairbanks","240",,,,,"A",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"64270183513","637996435","Southeast Fairbanks Census Area","S","+63607284","-143910084","05",,,43,11,32,13,17,0,23,3
"G0202610","2000","US","4","9","Alaska","02","Valdez-Cordova","261",,,,,"A",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"88886050122","15229266352","Valdez-Cordova Census Area","S","+61458662","-145325925","05",,,75,17,73,14,65,5,63,10
"G0202700","2000","US","4","9","Alaska","02","Wade Hampton","270",,,,,"A",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"44530953609","6412136001","Wade Hampton Census Area","S","+62084927","-163736818","05",,,8,0,4,2,8,0,2,2
"G0202800","2000","US","4","9","Alaska","02","Wrangell-Petersburg","280",,,,,"A",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"15112433221","8252397782","Wrangell-Petersburg Census Area","S","+56714340","-133073562","05",,,27,8,20,17,27,0,14,6
"G0202820","2000","US","4","9","Alaska","02","Yakutat","282",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"19814593290","4684825424","Yakutat City and Borough","A","+59793489","-140271248","03",,,0,4,2,0,0,0,0,2
"G0202900","2000","US","4","9","Alaska","02","Yukon-Koyukuk","290",,,,,"A",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"377878437401","5031897827","Yukon-Koyukuk Census Area","S","+65129566","-151854704","05",,,18,4,12,7,15,3,9,3
"G0400010","2000","US","4","8","Arizona","04","Apache","001",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"29020502286","35069942","Apache County","A","+35645278","-109449620","06",,,553,502,416,465,446,107,372,44
"G0400030","2000","US","4","8","Arizona","04","Cochise","003",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"15978796535","127742070","Cochise County","A","+31750272","-109904319","06",,,7294,4578,6105,6493,6116,695,5308,643
"G0400050","2000","US","4","8","Arizona","04","Coconino","005",,,,,"0",,,,,,,,,,,,,"2620","99","N","9999","9999","9",,,,,,,,,"48218904679","113408657","Coconino County","A","+35771440","-111511062","06",,,3281,1224,2712,1394,3062,219,2553,159
"G0400070","2000","US","4","8","Arizona","04","Gila","007",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"12348294231","72606847","Gila County","A","+33714683","-110977311","06",,,1813,1052,1479,1573,1685,128,1278,201
"G0400090","2000","US","4","8","Arizona","04","Graham","009",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"11989870698","30635420","Graham County","A","+32865056","-109816242","06",,,1676,1872,1377,1387,1440,236,1248,129
"G0400110","2000","US","4","8","Arizona","04","Greenlee","011",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"4783710414","3665171","Greenlee County","A","+33068497","-109273764","06",,,829,421,606,673,764,65,552,54
"G0400120","2000","US","4","8","Arizona","04","La Paz","012",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"11654826790","34717106","La Paz County","A","+33863604","-114045079","06",,,1061,497,687,661,963,98,648,39
"G0400130","2000","US","4","8","Arizona","04","Maricopa","013",,,,,"0",,,,,,,,,,,,,"6200","99","N","9999","9999","9",,,,,,,,,"23836016480","54722478","Maricopa County","A","+33494514","-112087906","06",,,187340,74140,118531,113171,174361,12456,108106,10334
"G0400150","2000","US","4","8","Arizona","04","Mohave","015",,,,,"0",,,,,,,,,,,,,"4120","99","N","9999","9999","9",,,,,,,,,"34476991534","409405407","Mohave County","A","+35285985","-114082709","06",,,3834,1721,3130,2358,3678,156,2849,281
"G0400170","2000","US","4","8","Arizona","04","Navajo","017",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"25778620688","16344185","Navajo County","A","+35406314","-110256683","06",,,1434,1151,1358,1111,1282,148,1300,54
"G0400190","2000","US","4","8","Arizona","04","Pima","019",,,,,"0",,,,,,,,,,,,,"8520","99","N","9999","9999","9",,,,,,,,,"23792316898","6644112","Pima County","A","+32178410","-111088624","06",,,55242,24934,46719,40337,50938,3710,43163,3416
"G0400210","2000","US","4","8","Arizona","04","Pinal","021",,,,,"0",,,,,,,,,,,,,"6200","99","N","9999","9999","9",,,,,,,,,"13907185407","11653422","Pinal County","A","+32965668","-111498113","06",,,11083,10413,7660,7410,9932,1125,6962,691
"G0400230","2000","US","4","8","Arizona","04","Santa Cruz","023",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"3205457073","1227457","Santa Cruz County","A","+31481900","-110905734","06",,,5957,3201,4554,6760,5500,442,4028,526
