GISJOIN,YEAR,STUSAB,ANRCA,AIANHHA,RES_ONLYA,TRUSTA,AIANCC,RES_TRSTA,BLCK_GRPA,TRACTA,CD101A,C_CITYA,CMSA,COUNTY,COUNTYA,CTY_SUBA,COUSUBCC,DIVISIONA,MSA_CMSAA,PLACEA,PLACECC,PLACEDC,PMSAA,REGIONA,STATE,STATEA,URBRURALA,URB_AREAA,ZIPA,CD103A,AREALAND,AREAWAT,ANPSADPI,FUNCSTAT,INTPTLAT,INTPTLNG,PSADC,E4K001,E4K002,E4K003,E4K004,E4K005,E4K006,E4K007,E4K008
"G0100470","1990","AL",,,,,,,,,,,"99","Dallas","047",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0002540256","0000032798","Dallas County","A","+32329593","-087109517","06",0,0,0,0,0,25,0,28
"G0100490","1990","AL",,,,,,,,,,,"99","DeKalb","049",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0002014972","0000001898","DeKalb County","A","+34459830","-085798731","06",0,72,1,20,0,60,12,9
"G0100510","1990","AL",,,,,,,,,,,"99","Elmore","051",,,"6","5240",,,,"9999","3","Alabama","01",,,,,"0001609888","0000092419","Elmore County","A","+32599910","-086138157","06",18,58,12,45,0,27,7,26
"G0100530","1990","AL",,,,,,,,,,,"99","Escambia","053",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0002453958","0000014420","Escambia County","A","+31136909","-087162695","06",0,39,0,18,0,31,0,39
"G0100550","1990","AL",,,,,,,,,,,"99","Etowah","055",,,"6","2880",,,,"9999","3","Alabama","01",,,,,"0001385231","0000036177","Etowah County","A","+34047533","-086038250","06",0,42,0,30,0,45,17,115
"G0100570","1990","AL",,,,,,,,,,,"99","Fayette","057",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0001626038","0000004067","Fayette County","A","+33729772","-087735378","06",0,65,9,0,0,6,9,0
"G0100590","1990","AL",,,,,,,,,,,"99","Franklin","059",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0001646417","0000028142","Franklin County","A","+34435932","-087843648","06",0,32,0,8,0,16,0,25
"G0100610","1990","AL",,,,,,,,,,,"99","Geneva","061",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0001492831","0000006675","Geneva County","A","+31094395","-085837337","06",0,36,0,0,0,29,10,6
"G0100630","1990","AL",,,,,,,,,,,"99","Greene","063",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0001673033","0000036331","Greene County","A","+32854779","-087951231","06",0,0,0,11,0,5,0,0
"G0100650","1990","AL",,,,,,,,,,,"99","Hale","065",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0001667399","0000032997","Hale County","A","+32755765","-087625424","06",0,7,0,6,0,11,0,17
"G0100670","1990","AL",,,,,,,,,,,"99","Henry","067",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0001455459","0000016634","Henry County","A","+31516095","-085239835","06",0,5,0,8,0,3,0,5
"G0100690","1990","AL",,,,,,,,,,,"99","Houston","069",,,"6","2180",,,,"9999","3","Alabama","01",,,,,"0001503260","0000003361","Houston County","A","+31151186","-085304578","06",0,88,0,8,0,73,7,75
"G0100710","1990","AL",,,,,,,,,,,"99","Jackson","071",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0002794103","0000124361","Jackson County","A","+34776174","-086002129","06",0,33,0,22,0,43,0,19
"G0100730","1990","AL",,,,,,,,,,,"99","Jefferson","073",,,"6","1000",,,,"9999","3","Alabama","01",,,,,"0002881838","0000028997","Jefferson County","A","+33552433","-086896716","06",13,697,40,159,0,621,26,416
"G0100750","1990","AL",,,,,,,,,,,"99","Lamar","075",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0001566658","0000001600","Lamar County","A","+33775081","-088096415","06",0,14,0,10,0,15,0,4
"G0100770","1990","AL",,,,,,,,,,,"99","Lauderdale","077",,,"6","2650",,,,"9999","3","Alabama","01",,,,,"0001734061","0000127739","Lauderdale County","A","+34903733","-087647581","06",0,50,0,6,0,40,0,84
"G0100790","1990","AL",,,,,,,,,,,"99","Lawrence","079",,,"6","2030",,,,"9999","3","Alabama","01",,,,,"0001796023","0000063928","Lawrence County","A","+34519990","-087310217","06",0,0,0,10,0,0,3,0
"G0100810","1990","AL",,,,,,,,,,,"99","Lee","081",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0001576767","0000017672","Lee County","A","+32597367","-085355886","06",0,197,12,59,0,96,22,101
"G0100830","1990","AL",,,,,,,,,,,"99","Limestone","083",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0001471352","0000101097","Limestone County","A","+34810321","-086981426","06",0,54,0,26,0,12,8,23
"G0100850","1990","AL",,,,,,,,,,,"99","Lowndes","085",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0001859626","0000018359","Lowndes County","A","+32157500","-086642632","06",0,14,1,3,0,7,2,19
"G0100870","1990","AL",,,,,,,,,,,"99","Macon","087",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0001581388","0000007040","Macon County","A","+32384887","-085692573","06",0,5,8,19,0,13,0,0
"G0100890","1990","AL",,,,,,,,,,,"99","Madison","089",,,"6","3440",,,,"9999","3","Alabama","01",,,,,"0002084844","0000020532","Madison County","A","+34760002","-086548777","06",192,617,20,68,25,639,51,383
"G0100910","1990","AL",,,,,,,,,,,"99","Marengo","091",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0002530740","0000015033","Marengo County","A","+32248548","-087790375","06",0,7,0,5,0,4,1,7
"G0100930","1990","AL",,,,,,,,,,,"99","Marion","093",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0001920398","0000005583","Marion County","A","+34134472","-087886567","06",0,14,0,12,0,6,2,9
"G0100950","1990","AL",,,,,,,,,,,"99","Marshall","095",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0001468803","0000145314","Marshall County","A","+34365158","-086313058","06",0,45,0,17,0,55,6,52
"G0100970","1990","AL",,,,,,,,,,,"99","Mobile","097",,,"6","5160",,,,"9999","3","Alabama","01",,,,,"0003194402","0001063906","Mobile County","A","+30684350","-088198527","06",26,859,35,296,0,549,92,585
"G0100990","1990","AL",,,,,,,,,,,"99","Monroe","099",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0002657256","0000022404","Monroe County","A","+31562730","-087353102","06",0,9,5,9,0,2,0,6
"G0101010","1990","AL",,,,,,,,,,,"99","Montgomery","101",,,"6","5240",,,,"9999","3","Alabama","01",,,,,"0002045765","0000025733","Montgomery County","A","+32224349","-086203795","06",80,257,41,228,16,287,53,211
"G0101030","1990","AL",,,,,,,,,,,"99","Morgan","103",,,"6","2030",,,,"9999","3","Alabama","01",,,,,"0001508018","0000043624","Morgan County","A","+34453298","-086857298","06",0,183,0,17,0,100,9,57
"G0101050","1990","AL",,,,,,,,,,,"99","Perry","105",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0001863600","0000011901","Perry County","A","+32638846","-087293685","06",0,2,0,11,0,8,0,13
"G0101070","1990","AL",,,,,,,,,,,"99","Pickens","107",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0002282979","0000022369","Pickens County","A","+33283797","-088084083","06",0,3,0,0,0,2,0,2
"G0101090","1990","AL",,,,,,,,,,,"99","Pike","109",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0001738113","0000002751","Pike County","A","+31806086","-085938912","06",0,36,0,20,0,46,0,16
"G0101110","1990","AL",,,,,,,,,,,"99","Randolph","111",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0001505028","0000007933","Randolph County","A","+33290802","-085456433","06",0,12,0,0,0,5,0,24
"G0101130","1990","AL",,,,,,,,,,,"99","Russell","113",,,"6","1800",,,,"9999","3","Alabama","01",,,,,"0001660542","0000016319","Russell County","A","+32287341","-085184114","06",10,63,0,30,0,99,18,30
"G0101150","1990","AL",,,,,,,,,,,"99","St Clair","115",,,"6","1000",,,,"9999","3","Alabama","01",,,,,"0001642030","0000050944","St. Clair County","A","+33712571","-086318306","06",0,42,3,8,0,15,2,17
"G0101170","1990","AL",,,,,,,,,,,"99","Shelby","117",,,"6","1000",,,,"9999","3","Alabama","01",,,,,"0002058840","0000038020","Shelby County","A","+33266792","-086654667","06",0,128,0,9,0,114,13,99
"G0101190","1990","AL",,,,,,,,,,,"99","Sumter","119",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0002343918","0000021669","Sumter County","A","+32593446","-088193795","06",0,14,0,13,0,10,0,23
"G0101210","1990","AL",,,,,,,,,,,"99","Talladega","121",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0001915562","0000053677","Talladega County","A","+33383988","-086169488","06",0,24,2,126,0,37,0,29
"G0101230","1990","AL",,,,,,,,,,,"99","Tallapoosa","123",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0001859724","0000124994","Tallapoosa County","A","+32860832","-085797597","06",0,13,0,6,0,14,0,21
"G0101250","1990","AL",,,,,,,,,,,"99","Tuscaloosa","125",,,"6","8600",,,,"9999","3","Alabama","01",,,,,"0003432429","0000069317","Tuscaloosa County","A","+33287940","-087523765","06",13,230,15,140,0,126,8,117
"G0101270","1990","AL",,,,,,,,,,,"99","Walker","127",,,"6","1000",,,,"9999","3","Alabama","01",,,,,"0002057633","0000028248","Walker County","A","+33807130","-087295532","06",0,18,4,13,0,23,0,44
"G0101290","1990","AL",,,,,,,,,,,"99","Washington","129",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0002799102","0000020425","Washington County","A","+31402696","-088202751","06",0,10,0,8,0,0,6,15
"G0101310","1990","AL",,,,,,,,,,,"99","Wilcox","131",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0002301870","0000048649","Wilcox County","A","+31990903","-087308887","06",0,2,0,0,0,2,0,9
"G0101330","1990","AL",,,,,,,,,,,"99","Winston","133",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0001591515","0000045117","Winston County","A","+34154535","-087373481","06",0,20,0,0,0,2,0,28
"G0200130","1990","AK",,,,,,,,,,,"99","Aleutians East","013",,,"9","9999",,,,"9999","4","Alaska","02",,,,,"0018090504","0020789982","Aleutians East Borough","A","+55229183","-161915191","04",0,129,0,0,0,70,3,2
"G0200160","1990","AK",,,,,,,,,,,"99","Aleutians West","016",,,"9","9999",,,,"9999","4","Alaska","02",,,,,"0011401462","0025155601","Aleutians West Census Area","S","+52242645","-175129755","05",119,232,1,0,43,133,2,23
"G0200200","1990","AK",,,,,,,,,,,"99","Anchorage","020",,,"9","0380",,,,"9999","4","Alaska","02",,,,,"0004396902","0000683421","Anchorage Borough","B","+61178368","-149186416","04",375,2007,294,468,88,1850,134,898
"G0200500","1990","AK",,,,,,,,,,,"99","Bethel","050",,,"9","9999",,,,"9999","4","Alaska","02",,,,,"0106416388","0012605996","Bethel Census Area","S","+60939161","-160147317","05",0,33,7,11,0,4,2,5
"G0200600","1990","AK",,,,,,,,,,,"99","Bristol Bay Borough","060",,,"9","9999",,,,"9999","4","Alaska","02",,,,,"0001344789","0001031830","Bristol Bay Borough","A","+58744623","-156988097","04",7,2,0,0,7,8,3,2
"G0200700","1990","AK",,,,,,,,,,,"99","Dillingham","070",,,"9","9999",,,,"9999","4","Alaska","02",,,,,"0047829349","0005558624","Dillingham Census Area","S","+59949649","-158429855","05",0,9,0,0,0,7,0,0
"G0200900","1990","AK",,,,,,,,,,,"99","Fairbanks North Star","090",,,"9","9999",,,,"9999","4","Alaska","02",,,,,"0019068693","0000210436","Fairbanks North Star Borough","A","+64846315","-146643388","04",342,303,70,181,83,445,71,218
"G0201000","1990","AK",,,,,,,,,,,"99","Haines","100",,,"9","9999",,,,"9999","4","Alaska","02",,,,,"0006104612","0001028498","Haines Borough","A","+59155973","-135443717","04",0,3,6,0,0,7,0,3
"G0201100","1990","AK",,,,,,,,,,,"99","Juneau","110",,,"9","9999",,,,"9999","4","Alaska","02",,,,,"0006717313","0001262781","Juneau Borough","B","+58388588","-134133421","04",0,209,7,16,0,168,0,56
"G0201220","1990","AK",,,,,,,,,,,"99","Kenai Peninsula","122",,,"9","9999",,,,"9999","4","Alaska","02",,,,,"0041644386","0014466224","Kenai Peninsula Borough","A","+60202478","-151629576","04",0,124,33,98,0,160,21,109
"G0201300","1990","AK",,,,,,,,,,,"99","Ketchikan Gateway","130",,,"9","9999",,,,"9999","4","Alaska","02",,,,,"0003158883","0001356922","Ketchikan Gateway Borough","A","+55541150","-131408008","04",19,51,5,12,0,72,0,23
"G0201500","1990","AK",,,,,,,,,,,"99","Kodiak Island","150",,,"9","9999",,,,"9999","4","Alaska","02",,,,,"0016738061","0013942816","Kodiak Island Borough","A","+57707368","-153782518","04",46,228,5,21,3,92,6,54
"G0201640","1990","AK",,,,,,,,,,,"99","Lake And Peninsula","164",,,"9","9999",,,,"9999","4","Alaska","02",,,,,"0061207704","0013923634","Lake and Peninsula Borough","A","+58401493","-156184669","04",0,2,0,20,0,2,0,0
"G0201700","1990","AK",,,,,,,,,,,"99","Matanuska-Susitna","170",,,"9","9999",,,,"9999","4","Alaska","02",,,,,"0063956536","0001395411","Matanuska-Susitna Borough","A","+62395317","-149575328","04",7,135,34,39,0,95,28,94
"G0201800","1990","AK",,,,,,,,,,,"99","Nome","180",,,"9","9999",,,,"9999","4","Alaska","02",,,,,"0059602512","0013632761","Nome Census Area","S","+64735328","-164186608","05",11,47,0,4,0,34,0,11
"G0201850","1990","AK",,,,,,,,,,,"99","North Slope","185",,,"9","9999",,,,"9999","4","Alaska","02",,,,,"0227558672","0015443149","North Slope Borough","A","+69296886","-153448095","04",0,32,11,0,0,20,0,2
"G0201880","1990","AK",,,,,,,,,,,"99","Northwest Arctic","188",,,"9","9999",,,,"9999","4","Alaska","02",,,,,"0092883808","0012428093","Northwest Arctic Borough","A","+67000678","-159998166","04",0,8,0,5,0,7,0,3
"G0202010","1990","AK",,,,,,,,,,,"99","Prince Of Wales-Outer Ketchikan","201",,,"9","9999",,,,"9999","4","Alaska","02",,,,,"0018970375","0013576622","Prince of Wales-Outer Ketchikan Census Area","S","+55454038","-132050372","05",0,22,5,7,0,18,3,7
"G0202200","1990","AK",,,,,,,,,,,"99","Sitka","220",,,"9","9999",,,,"9999","4","Alaska","02",,,,,"0007463030","0005097345","Sitka Borough","B","+57214050","-135446833","04",17,38,6,0,0,46,0,0
"G0202310","1990","AK",,,,,,,,,,,"99","Skagway-Yakutat-Angoon","231",,,"9","9999",,,,"9999","4","Alaska","02",,,,,"0033360798","0011964847","Skagway-Yakutat-Angoon Census Area","S","+58811136","-136622061","05",2,25,2,0,0,8,0,9
"G0202400","1990","AK",,,,,,,,,,,"99","Southeast Fairbanks","240",,,"9","9999",,,,"9999","4","Alaska","02",,,,,"0067324739","0000625041","Southeast Fairbanks Census Area","S","+63765233","-143598085","05",25,20,7,3,6,29,0,17
"G0202610","1990","AK",,,,,,,,,,,"99","Valdez-Cordova","261",,,"9","9999",,,,"9999","4","Alaska","02",,,,,"0095688464","0017017123","Valdez-Cordova Census Area","S","+61400254","-144503102","05",7,85,14,5,0,49,7,42
"G0202700","1990","AK",,,,,,,,,,,"99","Wade Hampton","270",,,"9","9999",,,,"9999","4","Alaska","02",,,,,"0044351368","0006620034","Wade Hampton Census Area","S","+62087611","-163529421","05",0,5,0,4,0,0,2,0
"G0202800","1990","AK",,,,,,,,,,,"99","Wrangell-Petersburg","280",,,"9","9999",,,,"9999","4","Alaska","02",,,,,"0015044097","0008197976","Wrangell-Petersburg Census Area","S","+56518015","-132961816","05",3,34,2,6,0,19,3,18
"G0202900","1990","AK",,,,,,,,,,,"99","Yukon-Koyukuk","290",,,"9","9999",,,,"9999","4","Alaska","02",,,,,"0406944070","0004855431","Yukon-Koyukuk Census Area","S","+65285776","-151646937","05",24,8,3,4,0,7,4,8
"G0400010","1990","AZ",,,,,,,,,,,"99","Apache","001",,,"8","9999",,,,"9999","4","Arizona","04",,,,,"0029022713","0000034927","Apache County","A","+35383620","-109488456","06",0,486,66,129,0,303,66,302
"G0400030","1990","AZ",,,,,,,,,,,"99","Cochise","003",,,"8","9999",,,,"9999","4","Arizona","04",,,,,"0015980285","0000127746","Cochise County","A","+31890821","-109736956","06",306,4549,927,3270,51,3707,740,5269
"G0400050","1990","AZ",,,,,,,,,,,"99","Coconino","005",,,"8","9999",,,,"9999","4","Arizona","04",,,,,"0048223545","0000112495","Coconino County","A","+35835573","-111768163","06",22,2552,228,695,0,1862,204,1314
"G0400070","1990","AZ",,,,,,,,,,,"99","Gila","007",,,"8","9999",,,,"9999","4","Arizona","04",,,,,"0012349309","0000072608","Gila County","A","+33797288","-110818155","06",2,1557,161,827,0,949,129,1455
"G0400090","1990","AZ",,,,,,,,,,,"99","Graham","009",,,"8","9999",,,,"9999","4","Arizona","04",,,,,"0011990779","0000030640","Graham County","A","+32936517","-109891347","06",0,952,254,1263,0,741,116,1145
"G0400110","1990","AZ",,,,,,,,,,,"99","Greenlee","011",,,"8","9999",,,,"9999","4","Arizona","04",,,,,"0004784084","0000003665","Greenlee County","A","+33185081","-109232988","06",0,630,53,357,0,401,72,695
"G0400120","1990","AZ",,,,,,,,,,,"99","La Paz","012",,,"8","9999",,,,"9999","4","Arizona","04",,,,,"0011653884","0000036498","La Paz County","A","+33727923","-113979016","06",0,844,51,199,0,492,69,520
"G0400130","1990","AZ",,,,,,,,,,,"99","Maricopa","013",,,"8","6200",,,,"9999","4","Arizona","04",,,,,"0023838482","0000053895","Maricopa County","A","+33342656","-112490919","06",615,81257,7935,21661,108,56001,5884,44648
"G0400150","1990","AZ",,,,,,,,,,,"99","Mohave","015",,,"8","9999",,,,"9999","4","Arizona","04",,,,,"0034479166","0000409435","Mohave County","A","+35708232","-113753337","06",0,1126,82,473,0,800,94,646
"G0400170","1990","AZ",,,,,,,,,,,"99","Navajo","017",,,"8","9999",,,,"9999","4","Arizona","04",,,,,"0025780344","0000016618","Navajo County","A","+35387551","-110319661","06",0,1075,88,726,0,814,86,893
"G0400190","1990","AZ",,,,,,,,,,,"99","Pima","019",,,"8","8520",,,,"9999","4","Arizona","04",,,,,"0023794348","0000006304","Pima County","A","+32103960","-111814821","06",520,33620,4596,12857,78,27980,3464,24807
"G0400210","1990","AZ",,,,,,,,,,,"99","Pinal","021",,,"8","9999",,,,"9999","4","Arizona","04",,,,,"0013908286","0000011653","Pinal County","A","+32909084","-111346897","06",13,7083,793,3553,0,3861,633,5588
"G0400230","1990","AZ",,,,,,,,,,,"99","Santa Cruz","023",,,"8","9999",,,,"9999","4","Arizona","04",,,,,"0003205764","0000001227","Santa Cruz County","A","+31523864","-110836469","06",6,4609,676,1692,0,3344,535,4443
"G0400250","1990","AZ",,,,,,,,,,,"99","Yavapai","025",,,"8","9999",,,,"9999","4","Arizona","04",,,,,"0021039978","0000012405","Yavapai County","A","+34595236","-112554041","06",0,1498,90,718,0,1028,157,1197
"G0400270","1990","AZ",,,,,,,,,,,"99","Yuma","027",,,"8","9360",,,,"9999","4","Arizona","04",,,,,"0014282395","0000012656","Yuma County","A","+32764761","-113897214","06",434,8660,1671,3594,69,5289,1537,7505
"G0500010","1990","AR",,,,,,,,,,,"99","Arkansas","001",,,"7","9999",,,,"9999","3","Arkansas","05",,,,,"0002560297","0000117372","Arkansas County","A","+34288872","-091376344","06",0,21,0,9,0,14,16,2
"G0500030","1990","AR",,,,,,,,,,,"99","Ashley","003",,,"7","9999",,,,"9999","3","Arkansas","05",,,,,"0002386316","0000046109","Ashley County","A","+33190783","-091772262","06",0,47,0,7,0,28,15,59
"G0500050","1990","AR",,,,,,,,,,,"99","Baxter","005",,,"7","9999",,,,"9999","3","Arkansas","05",,,,,"0001435941","0000083827","Baxter County","A","+36286225","-092339841","06",0,16,4,41,0,48,0,26
"G0500070","1990","AR",,,,,,,,,,,"99","Benton","007",,,"7","9999",,,,"9999","3","Arkansas","05",,,,,"0002184170","0000086778","Benton County","A","+36337987","-094257842","06",3,372,5,119,0,246,29,125
"G0500090","1990","AR",,,,,,,,,,,"99","Boone","009",,,"7","9999",,,,"9999","3","Arkansas","05",,,,,"0001531264","0000027566","Boone County","A","+36313592","-093092833","06",0,48,6,27,0,39,0,21
"G0500110","1990","AR",,,,,,,,,,,"99","Bradley","011",,,"7","9999",,,,"9999","3","Arkansas","05",,,,,"0001685258","0000009718","Bradley County","A","+33463242","-092168367","06",0,23,2,2,0,4,0,23
"G0500130","1990","AR",,,,,,,,,,,"99","Calhoun","013",,,"7","9999",,,,"9999","3","Arkansas","05",,,,,"0001627372","0000011042","Calhoun County","A","+33554153","-092497141","06",0,0,0,1,0,0,0,2
"G0500150","1990","AR",,,,,,,,,,,"99","Carroll","015",,,"7","9999",,,,"9999","3","Arkansas","05",,,,,"0001641517","0000022112","Carroll County","A","+36337153","-093541961","06",0,43,14,5,0,37,7,22
"G0500170","1990","AR",,,,,,,,,,,"99","Chicot","017",,,"7","9999",,,,"9999","3","Arkansas","05",,,,,"0001668139","0000121371","Chicot County","A","+33266340","-091297700","06",0,60,0,6,0,0,7,55
"G0500190","1990","AR",,,,,,,,,,,"99","Clark","019",,,"7","9999",,,,"9999","3","Arkansas","05",,,,,"0002241656","0000044473","Clark County","A","+34053832","-093176507","06",0,7,13,47,0,20,0,13
"G0500210","1990","AR",,,,,,,,,,,"99","Clay","021",,,"7","9999",,,,"9999","3","Arkansas","05",,,,,"0001655897","0000005490","Clay County","A","+36376360","-090421474","06",0,19,0,6,0,11,0,22
"G0500230","1990","AR",,,,,,,,,,,"99","Cleburne","023",,,"7","9999",,,,"9999","3","Arkansas","05",,,,,"0001432511","0000100652","Cleburne County","A","+35542425","-092028995","06",0,29,0,0,0,28,0,4
"G0500250","1990","AR",,,,,,,,,,,"99","Cleveland","025",,,"7","9999",,,,"9999","3","Arkansas","05",,,,,"0001548180","0000002816","Cleveland County","A","+33894438","-092187914","06",0,8,0,8,0,0,0,26
"G0500270","1990","AR",,,,,,,,,,,"99","Columbia","027",,,"7","9999",,,,"9999","3","Arkansas","05",,,,,"0001984432","0000001937","Columbia County","A","+33215092","-093226530","06",0,2,0,0,0,18,3,9
"G0500290","1990","AR",,,,,,,,,,,"99","Conway","029",,,"7","9999",,,,"9999","3","Arkansas","05",,,,,"0001440612","0000027168","Conway County","A","+35263495","-092695052","06",0,36,0,0,0,36,0,0
