GISJOIN,YEAR,STUSAB,ANRCA,AIANHHA,RES_ONLYA,TRUSTA,AIANCC,RES_TRSTA,BLCK_GRPA,TRACTA,CD101A,C_CITYA,CMSA,COUNTY,COUNTYA,CTY_SUBA,COUSUBCC,DIVISIONA,MSA_CMSAA,PLACEA,PLACECC,PLACEDC,PMSAA,REGIONA,STATE,STATEA,URBRURALA,URB_AREAA,ZIPA,CD103A,AREALAND,AREAWAT,ANPSADPI,FUNCSTAT,INTPTLAT,INTPTLNG,PSADC,E4J001,E4J002,E4J003,E4J004,E4J005,E4J006,E4J007,E4J008,E4J009,E4J010,E4J011,E4J012,E4J013,E4J014,E4J015,E4J016,E4J017,E4J018,E4J019,E4J020,E4J021,E4J022,E4J023,E4J024,E4J025,E4J026,E4J027,E4J028,E4J029,E4J030,E4J031,E4J032,E4J033,E4J034,E4J035,E4J036,E4J037,E4J038,E4J039,E4J040
"G0100210","1990","AL",,,,,,,,,,,"99","Chilton","021",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0001797629","0000017453","Chilton County","A","+32844987","-086718688","06",32,7301,330,2983,0,5090,373,6030,3,627,49,544,0,596,105,641,0,24,0,8,0,0,0,20,0,0,0,0,0,0,9,0,0,10,0,9,0,0,0,7
"G0100230","1990","AL",,,,,,,,,,,"99","Choctaw","023",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0002366161","0000018995","Choctaw County","A","+32024863","-088265781","06",4,2272,98,963,7,1466,205,1992,30,1063,154,957,0,852,267,1587,0,5,0,0,0,0,0,2,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,6
"G0100250","1990","AL",,,,,,,,,,,"99","Clarke","025",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0003207659","0000036584","Clarke County","A","+31677523","-087835981","06",5,4112,198,1446,0,2757,116,3516,0,1880,312,1466,0,1517,234,2545,0,4,0,2,0,4,0,2,0,8,0,0,0,10,0,2,0,0,0,0,0,13,0,0
"G0100270","1990","AL",,,,,,,,,,,"99","Clay","027",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0001567273","0000002403","Clay County","A","+33268721","-085859858","06",44,2641,163,1327,0,2226,95,2338,0,436,21,244,0,465,20,338,0,9,0,0,0,0,0,2,0,2,0,2,0,1,0,14,0,2,0,0,0,2,0,0
"G0100290","1990","AL",,,,,,,,,,,"99","Cleburne","029",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0001450928","0000002226","Cleburne County","A","+33670870","-085517385","06",30,3120,116,1308,0,2429,174,2188,0,87,24,39,0,81,12,161,0,6,7,0,0,6,0,16,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
"G0100310","1990","AL",,,,,,,,,,,"99","Coffee","031",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0001759093","0000003449","Coffee County","A","+31402888","-085989130","06",1268,7730,337,3147,130,6474,487,6220,94,1189,110,874,65,1332,151,1123,0,32,5,20,0,30,8,40,12,39,0,18,7,117,14,82,32,6,0,13,8,14,0,8
"G0100330","1990","AL",,,,,,,,,,,"99","Colbert","033",,,"6","2650",,,,"9999","3","Alabama","01",,,,,"0001539948","0000075322","Colbert County","A","+34707296","-087796569","06",24,10957,602,4704,9,7771,714,9353,8,1512,133,1069,0,1718,210,1608,0,61,0,21,0,34,0,40,0,19,0,0,0,11,0,19,0,7,0,0,0,8,0,8
"G0100350","1990","AL",,,,,,,,,,,"99","Conecuh","035",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0002203757","0000004438","Conecuh County","A","+31428183","-086992999","06",0,2019,115,1004,0,1381,123,1897,0,883,180,661,0,825,249,1264,0,0,0,9,0,0,0,1,0,0,0,0,0,10,0,2,0,0,0,0,0,0,0,0
"G0100370","1990","AL",,,,,,,,,,,"99","Coosa","037",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0001689951","0000036041","Coosa County","A","+32935503","-086239249","06",0,1723,109,945,0,1331,47,1604,2,742,71,536,0,778,50,578,0,12,0,0,0,4,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100390","1990","AL",,,,,,,,,,,"99","Covington","039",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0002679941","0000023877","Covington County","A","+31248133","-086453162","06",34,7412,340,3889,0,6023,380,6770,0,828,69,519,3,1021,68,788,0,39,0,5,0,8,1,16,0,14,0,11,0,6,0,11,0,19,0,0,0,18,0,0
"G0100410","1990","AL",,,,,,,,,,,"99","Crenshaw","041",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0001578918","0000003345","Crenshaw County","A","+31731354","-086311599","06",26,2375,138,1163,8,1915,177,2097,0,540,99,431,0,634,124,677,0,3,0,3,0,2,0,4,0,0,0,0,0,0,0,8,0,10,0,0,0,0,0,0
"G0100430","1990","AL",,,,,,,,,,,"99","Cullman","043",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0001912664","0000042427","Cullman County","A","+34131670","-086866896","06",50,17060,933,6794,5,12578,863,13720,0,121,9,69,0,107,17,78,0,40,0,8,0,0,0,23,0,14,0,9,0,30,8,18,0,0,0,6,0,2,0,0
"G0100450","1990","AL",,,,,,,,,,,"99","Dale","045",,,"6","2180",,,,"9999","3","Alabama","01",,,,,"0001453300","0000004134","Dale County","A","+31426115","-085612338","06",3732,8450,421,2942,241,7178,585,6620,741,1203,134,592,158,1613,226,1178,9,137,1,32,9,33,12,57,41,81,0,10,6,197,9,180,127,39,6,12,0,62,17,65
"G0100470","1990","AL",,,,,,,,,,,"99","Dallas","047",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0002540256","0000032798","Dallas County","A","+32329593","-087109517","06",8,5234,257,1868,8,3935,215,4443,52,3632,711,3341,0,3756,947,6298,0,16,0,0,0,6,0,0,0,17,0,0,0,34,0,7,0,0,0,0,0,0,0,8
"G0100490","1990","AL",,,,,,,,,,,"99","DeKalb","049",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0002014972","0000001898","DeKalb County","A","+34459830","-085798731","06",34,13050,786,5612,0,10890,601,10348,2,197,25,158,0,176,18,192,0,130,0,30,0,91,6,35,0,17,0,6,0,22,0,35,0,55,1,2,0,15,5,2
"G0100510","1990","AL",,,,,,,,,,,"99","Elmore","051",,,"6","5240",,,,"9999","3","Alabama","01",,,,,"0001609888","0000092419","Elmore County","A","+32599910","-086138157","06",398,9464,306,4298,24,7710,380,6921,7,1573,177,2551,0,1720,293,1763,0,46,8,46,0,42,0,40,0,3,0,0,0,33,12,43,9,5,0,0,0,14,0,16
"G0100530","1990","AL",,,,,,,,,,,"99","Escambia","053",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0002453958","0000014420","Escambia County","A","+31136909","-087162695","06",28,5879,387,2968,0,4204,381,5371,8,1314,321,1896,2,1498,440,1761,0,244,38,84,0,149,20,210,0,3,0,6,0,3,3,9,0,5,0,14,0,13,0,9
"G0100550","1990","AL",,,,,,,,,,,"99","Etowah","055",,,"6","2880",,,,"9999","3","Alabama","01",,,,,"0001385231","0000036177","Etowah County","A","+34047533","-086038250","06",98,20140,1493,9922,6,15378,1054,19724,9,2395,280,1679,4,2701,307,2533,0,43,38,28,0,76,20,44,0,76,0,154,0,53,0,143,0,25,0,11,0,15,0,68
"G0100570","1990","AL",,,,,,,,,,,"99","Fayette","057",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0001626038","0000004067","Fayette County","A","+33729772","-087735378","06",6,3827,250,1676,0,2747,364,3400,0,424,43,275,0,366,79,431,0,0,0,8,0,0,0,0,0,0,0,2,0,0,0,0,0,41,9,0,0,0,0,0
"G0100590","1990","AL",,,,,,,,,,,"99","Franklin","059",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0001646417","0000028142","Franklin County","A","+34435932","-087843648","06",15,6226,426,3081,0,4844,364,5845,0,171,21,205,0,285,10,221,0,20,0,0,0,16,0,14,0,6,0,0,0,5,0,13,0,0,0,0,0,0,0,8
"G0100610","1990","AL",,,,,,,,,,,"99","Geneva","061",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0001492831","0000006675","Geneva County","A","+31094395","-085837337","06",47,5083,249,2458,2,4126,236,4191,16,450,34,306,0,493,112,521,0,29,2,5,0,29,0,23,0,0,0,0,0,19,0,17,0,19,0,0,0,14,0,4
"G0100630","1990","AL",,,,,,,,,,,"99","Greene","063",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0001673033","0000036331","Greene County","A","+32854779","-087951231","06",0,556,10,233,1,428,11,418,0,1129,168,1006,14,1126,192,1869,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0
"G0100650","1990","AL",,,,,,,,,,,"99","Hale","065",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0001667399","0000032997","Hale County","A","+32755765","-087625424","06",3,1556,41,798,0,1194,19,1374,16,1295,194,1214,0,1387,142,1974,0,3,0,0,0,7,0,0,0,0,0,0,0,0,8,7,0,0,0,0,0,0,0,0
"G0100670","1990","AL",,,,,,,,,,,"99","Henry","067",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0001455459","0000016634","Henry County","A","+31516095","-085239835","06",10,2519,99,1112,4,2021,72,2094,17,933,140,619,14,996,53,1057,0,14,0,12,0,16,0,0,0,9,0,0,0,0,0,0,0,5,0,0,0,0,0,0
"G0100690","1990","AL",,,,,,,,,,,"99","Houston","069",,,"6","2180",,,,"9999","3","Alabama","01",,,,,"0001503260","0000003361","Houston County","A","+31151186","-085304578","06",105,17197,547,4875,6,13595,561,11187,54,3270,280,1799,0,3699,489,3111,0,75,0,21,0,63,0,38,0,72,7,32,0,120,11,57,0,18,0,0,0,11,0,25
"G0100710","1990","AL",,,,,,,,,,,"99","Jackson","071",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0002794103","0000124361","Jackson County","A","+34776174","-086002129","06",21,11214,805,4589,7,8792,614,8719,0,315,45,195,0,460,48,290,0,293,30,53,0,194,16,165,0,25,0,6,0,30,2,26,0,3,0,0,0,11,0,0
"G0100730","1990","AL",,,,,,,,,,,"99","Jefferson","073",,,"6","1000",,,,"9999","3","Alabama","01",,,,,"0002881838","0000028997","Jefferson County","A","+33552433","-086896716","06",505,111468,4418,40464,119,91030,3814,86223,332,38343,6006,26253,101,46678,5843,40959,0,280,29,162,0,210,40,208,0,955,41,345,0,664,62,601,0,184,21,54,0,76,8,103
