GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,CTY_SUBA,COUSUBCC,PLACEA,PLACECC,PLACEDC,TRACTA,TRBL_CTA,BLCK_GRPA,TRBL_BGA,C_CITYA,AIANHHA,RES_ONLYA,TRUSTA,AIANHHCC,AITSCE,TRBL_SUBA,ANRCA,MSA_CMSAA,CMSA,MACCI,PMSAA,NECMAA,NECMACCI,URB_AREAA,UATYPE,URBRURALA,CD106A,CD108A,CD109A,ZIP3A,ZCTAA,AREALAND,AREAWATR,NAME,FUNCSTAT,INTPTLAT,INTPLON,LSADC,MACC,UACP,GSS001,GSS002,GSS003,GSS004,GSS005,GSS006,GSS007,GSS008,GSS009,GSS010,GSS011,GSS012,GSS013,GSS014,GSS015,GSS016,GSS017,GSS018,GSS019,GSS020,GSS021,GSS022,GSS023,GSS024,GSS025,GSS026,GSS027,GSS028
"G0100210","2000","US","3","6","Alabama","01","Chilton","021",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1797396705","17552968","Chilton County","A","+32852554","-086689982","06",,,9071,300,6450,291,764,84,701,51,25,2,25,0,0,0,17,0,0,0,0,0,226,27,18,2,42,0,98,27
"G0100230","2000","US","3","6","Alabama","01","Choctaw","023",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"2365990097","18999051","Choctaw County","A","+32027681","-088257855","06",,,2032,115,1407,109,981,113,1010,187,9,0,3,0,0,0,2,0,0,0,0,0,7,2,4,0,14,0,0,0
"G0100250","2000","US","3","6","Alabama","01","Clarke","025",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"3207377186","36596298","Clarke County","A","+31688155","-087834164","06",,,4010,84,2958,152,1740,341,1547,437,0,0,6,0,23,0,9,0,6,0,0,0,13,0,0,0,15,0,16,0
"G0100270","2000","US","3","6","Alabama","01","Clay","027",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1567134311","2403035","Clay County","A","+33265810","-085842858","06",,,2852,82,2265,152,368,39,336,41,20,0,4,0,0,0,4,0,0,0,0,0,20,11,10,18,13,0,38,0
"G0100290","2000","US","3","6","Alabama","01","Cleburne","029",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1450940300","2089814","Cleburne County","A","+33647948","-085511937","06",,,3376,209,2437,122,92,12,133,0,17,0,9,0,0,0,0,0,0,0,0,0,61,0,0,0,35,0,28,4
"G0100310","2000","US","3","6","Alabama","01","Coffee","031",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1758576346","3854683","Coffee County","A","+31378987","-085956841","06",,,7977,286,6571,377,1213,127,1419,210,70,4,52,9,32,0,197,12,8,0,0,0,63,6,46,5,162,9,95,36
"G0100330","2000","US","3","6","Alabama","01","Colbert","033",,,,,"0",,,,,,,,,,,,,"2650","99","N","9999","9999","9",,,,,,,,,"1539831753","75305160","Colbert County","A","+34731480","-087725960","06",,,11093,453,8440,404,1551,177,1661,214,28,4,34,0,23,0,52,0,21,0,5,5,75,0,12,0,68,0,30,0
"G0100350","2000","US","3","6","Alabama","01","Conecuh","035",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"2203546316","4436364","Conecuh County","A","+31415613","-087002108","06",,,1838,80,1348,130,816,104,830,207,0,0,8,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,10,8
"G0100370","2000","US","3","6","Alabama","01","Coosa","037",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1689820597","36039382","Coosa County","A","+32955511","-086236319","06",,,1899,92,1384,129,741,81,770,67,7,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,0
"G0100390","2000","US","3","6","Alabama","01","Covington","039",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"2677571159","26020615","Covington County","A","+31251036","-086416195","06",,,7615,438,5951,528,680,96,849,151,41,6,54,20,8,0,20,3,2,0,0,0,15,0,20,8,24,4,25,8
"G0100410","2000","US","3","6","Alabama","01","Crenshaw","041",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1578805448","3354388","Crenshaw County","A","+31710365","-086289299","06",,,2446,82,1903,110,475,45,603,73,0,0,4,0,0,0,0,0,0,0,0,0,22,0,0,0,10,0,0,0
"G0100430","2000","US","3","6","Alabama","01","Cullman","043",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1912519740","42457211","Cullman County","A","+34155603","-086830179","06",,,19052,641,14746,807,177,23,164,21,88,0,53,7,49,0,68,0,0,0,1,0,169,0,83,1,282,11,160,2
"G0100450","2000","US","3","6","Alabama","01","Dale","045",,,,,"0",,,,,,,,,,,,,"2180","99","N","9999","9999","9",,,,,,,,,"1453174505","4146470","Dale County","A","+31394100","-085615013","06",,,8109,360,6786,538,1487,286,1723,317,50,2,43,7,54,5,122,10,2,0,9,0,95,4,43,14,162,4,118,11
"G0100470","2000","US","3","6","Alabama","01","Dallas","047",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"2540033739","32793461","Dallas County","A","+32379942","-087065563","06",,,4107,138,3238,181,3707,829,4132,778,28,0,23,7,45,0,21,0,0,0,0,0,0,0,0,0,38,0,52,0
"G0100490","2000","US","3","6","Alabama","01","DeKalb","049",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"2014784830","1908435","DeKalb County","A","+34459133","-085798919","06",,,15022,623,12171,757,154,27,209,41,87,2,147,12,16,0,19,0,0,0,13,0,595,24,325,40,230,48,292,8
"G0100510","2000","US","3","6","Alabama","01","Elmore","051",,,,,"0",,,,,,,,,,,,,"5240","99","N","9999","9999","9",,,,,,,,,"1609044562","93127438","Elmore County","A","+32596847","-086170765","06",,,12817,430,10857,481,1800,269,1966,244,50,6,54,8,47,0,70,0,22,0,0,8,58,0,31,7,73,4,125,7
"G0100530","2000","US","3","6","Alabama","01","Escambia","053",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"2453710209","14424173","Escambia County","A","+31104135","-087232880","06",,,5896,329,4713,280,1535,191,1798,210,173,37,159,19,21,0,26,0,0,0,4,0,26,0,2,0,106,6,139,26
"G0100550","2000","US","3","6","Alabama","01","Etowah","055",,,,,"0",,,,,,,,,,,,,"2880","99","N","9999","9999","9",,,,,,,,,"1385183532","36080591","Etowah County","A","+34018597","-086032125","06",,,20572,993,16874,880,2346,353,2567,388,85,7,56,0,111,0,61,9,24,0,9,0,290,16,90,23,138,58,203,27
"G0100570","2000","US","3","6","Alabama","01","Fayette","057",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1625632174","4354945","Fayette County","A","+33747077","-087751725","06",,,3800,238,2708,257,392,53,399,55,0,0,0,0,15,0,0,0,0,0,0,2,45,0,0,0,7,7,25,2
"G0100590","2000","US","3","6","Alabama","01","Franklin","059",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1646312169","28139961","Franklin County","A","+34465405","-087832638","06",,,6531,352,5320,295,236,38,211,12,24,0,21,5,17,0,7,0,2,0,2,0,427,27,161,18,70,8,60,18
"G0100610","2000","US","3","6","Alabama","01","Geneva","061",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1492559453","6793742","Geneva County","A","+31094579","-085796983","06",,,5510,219,4233,480,497,79,417,127,14,14,33,0,11,0,12,7,0,0,0,0,29,2,13,0,13,6,27,2
"G0100630","2000","US","3","6","Alabama","01","Greene","063",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1672782673","36438301","Greene County","A","+32837254","-087950852","06",,,499,3,403,6,971,160,1224,299,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,3,0,1,1
"G0100650","2000","US","3","6","Alabama","01","Hale","065",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1667267304","32984565","Hale County","A","+32768094","-087635687","06",,,1794,16,1234,80,1298,108,1450,303,19,0,0,0,0,0,11,0,0,0,0,0,14,0,8,0,14,0,0,0
"G0100670","2000","US","3","6","Alabama","01","Henry","067",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1455045371","16913484","Henry County","A","+31493511","-085253760","06",,,2729,139,2131,93,856,98,953,113,7,0,3,0,0,0,0,0,0,0,0,0,66,0,14,0,21,0,0,14
"G0100690","2000","US","3","6","Alabama","01","Houston","069",,,,,"0",,,,,,,,,,,,,"2180","99","N","9999","9999","9",,,,,,,,,"1503124582","3351697","Houston County","A","+31189731","-085350387","06",,,17320,453,14258,685,3639,511,4250,529,161,3,79,20,109,0,109,0,2,0,0,0,102,0,39,6,156,3,131,17
"G0100710","2000","US","3","6","Alabama","01","Jackson","071",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"2793932065","124376317","Jackson County","A","+34755318","-085948462","06",,,12857,609,10337,582,422,59,376,40,152,19,186,1,21,5,42,0,0,0,0,0,16,0,45,0,306,13,222,23
