GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,CTY_SUBA,COUSUBCC,PLACEA,PLACECC,PLACEDC,TRACTA,TRBL_CTA,BLCK_GRPA,TRBL_BGA,C_CITYA,AIANHHA,RES_ONLYA,TRUSTA,AIANHHCC,AITSCE,TRBL_SUBA,ANRCA,MSA_CMSAA,CMSA,MACCI,PMSAA,NECMAA,NECMACCI,URB_AREAA,UATYPE,URBRURALA,CD106A,CD108A,CD109A,ZIP3A,ZCTAA,AREALAND,AREAWATR,NAME,FUNCSTAT,INTPTLAT,INTPLON,LSADC,MACC,UACP,GSQ001,GSQ002,GSQ003,GSQ004,GSQ005,GSQ006,GSQ007,GSQ008,GSQ009,GSQ010,GSQ011,GSQ012,GSQ013,GSQ014,GSQ015,GSQ016,GSQ017,GSQ018,GSQ019,GSQ020,GSQ021,GSQ022,GSQ023,GSQ024,GSQ025,GSQ026,GSQ027,GSQ028,GSS001,GSS002,GSS003,GSS004,GSS005,GSS006,GSS007,GSS008,GSS009,GSS010,GSS011,GSS012,GSS013,GSS014,GSS015,GSS016,GSS017,GSS018,GSS019,GSS020,GSS021,GSS022,GSS023,GSS024,GSS025,GSS026,GSS027,GSS028
"G0100210","2000","US","3","6","Alabama","01","Chilton","021",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1797396705","17552968","Chilton County","A","+32852554","-086689982","06",,,9390,3546,6741,7015,848,650,752,820,27,14,25,13,0,7,17,28,0,13,0,0,253,31,20,50,42,27,125,91,9071,300,6450,291,764,84,701,51,25,2,25,0,0,0,17,0,0,0,0,0,226,27,18,2,42,0,98,27
"G0100230","2000","US","3","6","Alabama","01","Choctaw","023",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"2365990097","18999051","Choctaw County","A","+32027681","-088257855","06",,,2168,1196,1516,2261,1094,1131,1197,1670,9,2,3,7,0,3,2,5,0,0,0,0,9,2,4,26,17,23,0,24,2032,115,1407,109,981,113,1010,187,9,0,3,0,0,0,2,0,0,0,0,0,7,2,4,0,14,0,0,0
"G0100250","2000","US","3","6","Alabama","01","Clarke","025",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"3207377186","36596298","Clarke County","A","+31688155","-087834164","06",,,4096,1726,3110,3400,2081,1683,1984,2718,0,0,6,21,23,2,9,9,6,0,0,6,13,1,0,0,15,0,16,12,4010,84,2958,152,1740,341,1547,437,0,0,6,0,23,0,9,0,6,0,0,0,13,0,0,0,15,0,16,0
"G0100270","2000","US","3","6","Alabama","01","Clay","027",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1567134311","2403035","Clay County","A","+33265810","-085842858","06",,,2942,1518,2417,2450,410,377,377,565,20,0,4,0,0,0,4,0,0,0,0,0,31,0,28,0,13,38,38,11,2852,82,2265,152,368,39,336,41,20,0,4,0,0,0,4,0,0,0,0,0,20,11,10,18,13,0,38,0
"G0100290","2000","US","3","6","Alabama","01","Cleburne","029",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1450940300","2089814","Cleburne County","A","+33647948","-085511937","06",,,3590,1565,2559,2763,104,106,133,69,17,5,9,14,0,0,0,0,0,0,0,0,61,16,0,0,35,7,32,50,3376,209,2437,122,92,12,133,0,17,0,9,0,0,0,0,0,0,0,0,0,61,0,0,0,35,0,28,4
"G0100310","2000","US","3","6","Alabama","01","Coffee","031",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1758576346","3854683","Coffee County","A","+31378987","-085956841","06",,,9279,3834,7105,6740,1408,1239,1663,1560,74,42,61,44,53,6,209,55,8,0,0,0,84,30,51,43,187,71,137,116,7977,286,6571,377,1213,127,1419,210,70,4,52,9,32,0,197,12,8,0,0,0,63,6,46,5,162,9,95,36
"G0100330","2000","US","3","6","Alabama","01","Colbert","033",,,,,"0",,,,,,,,,,,,,"2650","99","N","9999","9999","9",,,,,,,,,"1539831753","75305160","Colbert County","A","+34731480","-087725960","06",,,11564,5516,8844,10099,1739,1233,1875,1925,32,0,34,24,23,17,52,32,21,0,10,0,75,0,12,24,77,51,30,89,11093,453,8440,404,1551,177,1661,214,28,4,34,0,23,0,52,0,21,0,5,5,75,0,12,0,68,0,30,0
"G0100350","2000","US","3","6","Alabama","01","Conecuh","035",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"2203546316","4436364","Conecuh County","A","+31415613","-087002108","06",,,1918,1156,1478,1789,920,922,1037,1559,0,0,8,6,6,6,0,6,0,0,0,0,7,12,0,13,0,16,18,0,1838,80,1348,130,816,104,830,207,0,0,8,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,10,8
"G0100370","2000","US","3","6","Alabama","01","Coosa","037",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1689820597","36039382","Coosa County","A","+32955511","-086236319","06",,,2001,1135,1513,1570,822,845,837,806,7,7,16,10,0,0,0,0,0,0,0,0,0,0,0,0,12,8,12,8,1899,92,1384,129,741,81,770,67,7,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,0
"G0100390","2000","US","3","6","Alabama","01","Covington","039",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"2677571159","26020615","Covington County","A","+31251036","-086416195","06",,,8079,4227,6491,7212,781,615,1002,870,47,20,74,34,8,7,23,4,12,0,0,0,18,21,28,6,34,28,33,66,7615,438,5951,528,680,96,849,151,41,6,54,20,8,0,20,3,2,0,0,0,15,0,20,8,24,4,25,8
"G0100410","2000","US","3","6","Alabama","01","Crenshaw","041",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1578805448","3354388","Crenshaw County","A","+31710365","-086289299","06",,,2549,1179,2013,2279,520,561,676,871,0,0,4,6,0,0,0,0,0,0,0,0,23,0,0,3,10,8,0,15,2446,82,1903,110,475,45,603,73,0,0,4,0,0,0,0,0,0,0,0,0,22,0,0,0,10,0,0,0
"G0100430","2000","US","3","6","Alabama","01","Cullman","043",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1912519740","42457211","Cullman County","A","+34155603","-086830179","06",,,19742,8714,15553,14701,200,129,185,144,88,25,60,44,49,50,68,64,0,0,1,10,169,60,84,73,293,100,162,133,19052,641,14746,807,177,23,164,21,88,0,53,7,49,0,68,0,0,0,1,0,169,0,83,1,282,11,160,2
"G0100450","2000","US","3","6","Alabama","01","Dale","045",,,,,"0",,,,,,,,,,,,,"2180","99","N","9999","9999","9",,,,,,,,,"1453174505","4146470","Dale County","A","+31394100","-085615013","06",,,10430,3993,7527,6880,2163,901,2169,1695,68,23,50,49,103,19,134,183,20,2,11,0,192,16,86,114,222,78,133,168,8109,360,6786,538,1487,286,1723,317,50,2,43,7,54,5,122,10,2,0,9,0,95,4,43,14,162,4,118,11
"G0100470","2000","US","3","6","Alabama","01","Dallas","047",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"2540033739","32793461","Dallas County","A","+32379942","-087065563","06",,,4250,2066,3419,3849,4536,4249,4918,7087,28,5,30,41,45,0,21,20,0,0,0,0,0,0,0,0,43,20,52,22,4107,138,3238,181,3707,829,4132,778,28,0,23,7,45,0,21,0,0,0,0,0,0,0,0,0,38,0,52,0
"G0100490","2000","US","3","6","Alabama","01","DeKalb","049",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"2014784830","1908435","DeKalb County","A","+34459133","-085798919","06",,,15684,6715,12928,11673,181,125,250,204,89,21,159,70,16,27,21,14,0,0,13,0,619,106,365,155,278,117,300,117,15022,623,12171,757,154,27,209,41,87,2,147,12,16,0,19,0,0,0,13,0,595,24,325,40,230,48,292,8
